,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,open_url,artist_name,title
373,0.562,0.711,2,-4.984,1,0.31,0.0164,0.0,0.189,0.226,160.039,audio_features,7hrN9HumCLEY1SwqWxrRfg,spotify:track:7hrN9HumCLEY1SwqWxrRfg,https://api.spotify.com/v1/tracks/7hrN9HumCLEY1SwqWxrRfg,https://api.spotify.com/v1/audio-analysis/7hrN9HumCLEY1SwqWxrRfg,202516,4,https://open.spotify.com/track/7hrN9HumCLEY1SwqWxrRfg,Channel Live,Turn It Up
374,0.562,0.711,2,-4.984,1,0.31,0.0164,0.0,0.189,0.226,160.039,audio_features,7hrN9HumCLEY1SwqWxrRfg,spotify:track:7hrN9HumCLEY1SwqWxrRfg,https://api.spotify.com/v1/tracks/7hrN9HumCLEY1SwqWxrRfg,https://api.spotify.com/v1/audio-analysis/7hrN9HumCLEY1SwqWxrRfg,202516,4,https://open.spotify.com/track/7hrN9HumCLEY1SwqWxrRfg,Devine and emilyPLAY,Turn It Up
375,0.679,0.743,0,-7.405,1,0.0393,0.000639,0.000194,0.351,0.737,127.776,audio_features,7IO31fDcSWYfB2NXnW2JIn,spotify:track:7IO31fDcSWYfB2NXnW2JIn,https://api.spotify.com/v1/tracks/7IO31fDcSWYfB2NXnW2JIn,https://api.spotify.com/v1/audio-analysis/7IO31fDcSWYfB2NXnW2JIn,256400,4,https://open.spotify.com/track/7IO31fDcSWYfB2NXnW2JIn,M\xc3\xb6tley Cr\xc3\xbce,Get It For Free
376,0.899,0.491,6,-11.043,0,0.258,0.148,3.82e-06,0.411,0.826,107.706,audio_features,4cgodXjv4TfrooNQxvlO4O,spotify:track:4cgodXjv4TfrooNQxvlO4O,https://api.spotify.com/v1/tracks/4cgodXjv4TfrooNQxvlO4O,https://api.spotify.com/v1/audio-analysis/4cgodXjv4TfrooNQxvlO4O,287107,4,https://open.spotify.com/track/4cgodXjv4TfrooNQxvlO4O,OutKast featuring George Clinton,Synthesizer
377,0.504,0.269,0,-14.488,1,0.0351,0.866,0.144,0.111,0.184,124.95,audio_features,13GJxA2L73BqqD987ZwkuB,spotify:track:13GJxA2L73BqqD987ZwkuB,https://api.spotify.com/v1/tracks/13GJxA2L73BqqD987ZwkuB,https://api.spotify.com/v1/audio-analysis/13GJxA2L73BqqD987ZwkuB,340933,4,https://open.spotify.com/track/13GJxA2L73BqqD987ZwkuB,Pep Laguarda & Tapineria,Caseta del Plater
378,0.339,0.205,7,-15.315,1,0.0303,0.842,0.0,0.101,0.166,81.586,audio_features,0z5HSQGWgnjdNvwbOmhB2w,spotify:track:0z5HSQGWgnjdNvwbOmhB2w,https://api.spotify.com/v1/tracks/0z5HSQGWgnjdNvwbOmhB2w,https://api.spotify.com/v1/audio-analysis/0z5HSQGWgnjdNvwbOmhB2w,186973,4,https://open.spotify.com/track/0z5HSQGWgnjdNvwbOmhB2w,The Continentals,Merry Christmas Baby
379,0.34,0.211,4,-18.286,1,0.0544,0.937,0.593,0.329,0.117,81.92,audio_features,1QnEwbWepbDYWXoGjWowai,spotify:track:1QnEwbWepbDYWXoGjWowai,https://api.spotify.com/v1/tracks/1QnEwbWepbDYWXoGjWowai,https://api.spotify.com/v1/audio-analysis/1QnEwbWepbDYWXoGjWowai,62320,3,https://open.spotify.com/track/1QnEwbWepbDYWXoGjWowai,David & Steve Gordon,Faithkeeper_ Part 1
380,0.34,0.211,4,-18.286,1,0.0544,0.937,0.593,0.329,0.117,81.92,audio_features,1QnEwbWepbDYWXoGjWowai,spotify:track:1QnEwbWepbDYWXoGjWowai,https://api.spotify.com/v1/tracks/1QnEwbWepbDYWXoGjWowai,https://api.spotify.com/v1/audio-analysis/1QnEwbWepbDYWXoGjWowai,62320,3,https://open.spotify.com/track/1QnEwbWepbDYWXoGjWowai,David & Steve Gordon,Yoga de Sensualite
381,0.838,0.616,10,-8.351,0,0.0711,0.18,7.17e-06,0.193,0.848,107.695,audio_features,2ivdsb1RcEJjIs5tuHkUC9,spotify:track:2ivdsb1RcEJjIs5tuHkUC9,https://api.spotify.com/v1/tracks/2ivdsb1RcEJjIs5tuHkUC9,https://api.spotify.com/v1/audio-analysis/2ivdsb1RcEJjIs5tuHkUC9,316333,4,https://open.spotify.com/track/2ivdsb1RcEJjIs5tuHkUC9,Sex Machine,We Wanna Change Our Band Name
382,0.736,0.316,9,-18.09,0,0.0424,0.774,0.0495,0.12,0.929,123.149,audio_features,7uo8xV5o1bIHDTenOPNHrP,spotify:track:7uo8xV5o1bIHDTenOPNHrP,https://api.spotify.com/v1/tracks/7uo8xV5o1bIHDTenOPNHrP,https://api.spotify.com/v1/audio-analysis/7uo8xV5o1bIHDTenOPNHrP,286173,4,https://open.spotify.com/track/7uo8xV5o1bIHDTenOPNHrP,Orquesta Harlow,El Terror
